zone,object,component,index,concentration
2,1,1,14,1.9365296281636425e-12
2,1,1,15,2.8782447462154815e-12
2,1,1,16,4.2617733698941035e-12
2,1,1,17,6.287574343196391e-12
2,1,1,18,9.244159189164946e-12
2,1,1,19,1.354552968588136e-11
2,1,1,20,1.978400019591743e-11
2,1,1,21,2.8804498664740624e-11
2,1,1,22,4.180875719566336e-11
2,1,1,23,6.050096087385546e-11
2,1,1,24,8.729071097256007e-11
2,1,1,25,1.2557495777834038e-10
2,1,1,26,1.8012837162409317e-10
2,1,1,27,2.576421066061586e-10
2,1,1,28,3.67464927973353e-10
2,1,1,29,5.226193344189791e-10
2,1,1,30,7.41190047264862e-10
2,1,1,31,1.0482149050346163e-09
2,1,1,32,1.4782511517963001e-09
2,1,1,33,2.0788463374043035e-09
2,1,1,34,2.915216345450428e-09
2,1,1,35,4.076528192830257e-09
2,1,1,36,5.6843081572890846e-09
2,1,1,37,7.903653886754317e-09
2,1,1,38,1.0958131571099684e-08
2,1,1,39,1.5149497243538935e-08
2,1,1,40,2.0883708530599345e-08
2,1,1,41,2.8705106304247692e-08
2,1,1,42,3.934116472036644e-08
2,1,1,43,5.376085698822035e-08
2,1,1,44,7.325049131940288e-08
2,1,1,45,9.95118703256691e-08
2,1,1,46,1.3478885678989802e-07
2,1,1,47,1.820299345438667e-07
2,1,1,48,2.4509618718025843e-07
2,1,1,49,3.2902633865034457e-07
2,1,1,50,4.403731749727331e-07
2,1,1,51,5.87628869240354e-07
2,1,1,52,7.817605439758666e-07
2,1,1,53,1.0368819133245732e-06
2,1,1,54,1.371092145742304e-06
2,1,1,55,1.8075192727127406e-06
2,1,1,56,2.3756126390829317e-06
2,1,1,57,3.1127371426660276e-06
2,1,1,58,4.066131435978432e-06
2,1,1,59,5.295302941789544e-06
2,1,1,60,6.874944530149624e-06
2,1,1,61,8.898471057176938e-06
2,1,1,62,1.1482288681996032e-05
2,1,1,63,1.4770925922513869e-05
2,1,1,64,1.8943172695061127e-05
2,1,1,65,2.4219391954812997e-05
2,1,1,66,3.0870187784291895e-05
2,1,1,67,3.9226633548090346e-05
2,1,1,68,4.969228362382891e-05
2,1,1,69,6.275721169989943e-05
2,1,1,70,7.901433704400452e-05
2,1,1,71,9.917831670536352e-05
2,1,1,72,0.00012410729539229622
2,1,1,73,0.00015482781469864794
2,1,1,74,0.00019256318822589289
2,1,1,75,0.00023876564760164765
2,1,1,76,0.00029515255490008397
2,1,1,77,0.0003637469577700693
2,1,1,78,0.00044692273254006457
2,1,1,79,0.0005474545148099932
2,1,1,80,0.0006685725520395946
2,1,1,81,0.0008140225202205892
2,1,1,82,0.0009881302104708918
2,1,1,83,0.0011958707764901971
2,1,1,84,0.001442941864443609
2,1,1,85,0.0017358392563867064
2,1,1,86,0.0020819322801651973
2,1,1,87,0.002489533367245239
2,1,1,88,0.0029679500102299705
2,1,1,89,0.0035274941296715547
2,1,1,90,0.004179395116714069
2,1,1,91,0.004935500378713073
2,1,1,92,0.0058075117444511375
2,1,1,93,0.006805212834291646
2,1,1,94,0.007932509478700047
2,1,1,95,0.009178742975859413
2,1,1,96,0.010499813572831342
2,1,1,97,0.01177740267260283
2,1,1,98,0.012731264180743973
2,1,1,99,0.012731264180767907
3,0,0,0,5.316959493090579
3,0,0,1,5.318261749943958
3,0,0,2,5.3195628789395535
3,0,0,3,5.3208628790868016
3,0,0,4,5.32216174939735
3,0,0,5,5.323459488884905
3,0,0,6,5.324756096565237
3,0,0,7,5.32605157145619
3,0,0,8,5.327345912577679
3,0,0,9,5.3286391189517115
3,0,0,10,5.329931189602369
3,0,0,11,5.33122212355582
3,0,0,12,5.3325119198403375
3,0,0,13,5.333800577486284
3,0,0,14,5.335088095526126
3,0,0,15,5.33637447299444
3,0,0,16,5.337659708927914
